old_path,new_path,caption
/Users/beszabo/bene/szakdolgozat/figures/appendix/event_pos_num_memes_z_placebo_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/placebo/event_pos_num_memes_z_placebo_ci.png,Placebo CI (matched by NYT_mention decile)
/Users/beszabo/bene/szakdolgozat/figures/appendix/event_neg_num_memes_z_placebo_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/placebo/event_neg_num_memes_z_placebo_ci.png,Placebo CI (matched by NYT_mention decile)
/Users/beszabo/bene/szakdolgozat/figures/appendix/event_pos_num_memes_z_ci_nooverlap.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/event-only/event_pos_num_memes_z_ci_nooverlap.png,Event CI (non-overlapping events)
/Users/beszabo/bene/szakdolgozat/figures/appendix/event_neg_num_memes_z_ci_nooverlap.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/event-only/event_neg_num_memes_z_ci_nooverlap.png,Event CI (non-overlapping events)
/Users/beszabo/bene/szakdolgozat/figures/appendix/xcorr_NYT_mention_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/results/lead_lag/xcorr_NYT_mention_vs_num_memes_z.png,Lead–lag correlation (NYT_mention vs num_memes_z)
/Users/beszabo/bene/szakdolgozat/figures/results/event_neg_num_memes_rel_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_neg_num_memes_rel_ci.png,Event CI (relative meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_neg_log1p_meme_volume_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_neg_log1p_meme_volume_ci.png,Event CI (log1p meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_pos_log1p_meme_volume_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_pos_log1p_meme_volume_ci.png,Event CI (log1p meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_neg_num_memes_z_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/event-only/event_neg_num_memes_z_ci.png,Event CI (normalized meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_pos_num_memes_rel_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_pos_num_memes_rel_ci.png,Event CI (relative meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_pos_log1p_meme_engagement_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_pos_log1p_meme_engagement_ci.png,Event CI (log1p meme engagement)
/Users/beszabo/bene/szakdolgozat/figures/results/event_pos_num_memes_z_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/event-only/event_pos_num_memes_z_ci.png,Event CI (normalized meme volume)
/Users/beszabo/bene/szakdolgozat/figures/results/event_neg_log1p_meme_engagement_ci.png,/Users/beszabo/bene/szakdolgozat/figures/appendix/alt-outcomes/event_neg_log1p_meme_engagement_ci.png,Event CI (log1p meme engagement)
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_google_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_google_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — google
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_tesla_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_tesla_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — tesla
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_instagram_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_instagram_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — instagram
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_amazon_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_amazon_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — amazon
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_microsoft_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_microsoft_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — microsoft
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_facebook_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_facebook_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — facebook
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_apple_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_apple_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — apple
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_youtube_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_youtube_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — youtube
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_netflix_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_netflix_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — netflix
/Users/beszabo/bene/szakdolgozat/figures/descriptive/ts_spotify_num_articles_vs_num_memes_z.png,/Users/beszabo/bene/szakdolgozat/figures/descriptive/timeseries/ts_spotify_num_articles_vs_num_memes_z.png,Time series: NYT_mention vs num_memes_z — spotify
