missing_combo,missing_rows,missing_share
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,3304,0.3710691823899371
nyt_sentiment,224,0.025157232704402517
nyt_sentiment_L4,210,0.02358490566037736
nyt_sentiment_L3,203,0.02279874213836478
nyt_sentiment_L1,203,0.02279874213836478
nyt_sentiment_L2,190,0.02133872416891285
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3,153,0.017183288409703505
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,123,0.013814016172506738
nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,123,0.013814016172506738
nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,118,0.013252470799640611
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L4,114,0.012803234501347708
nyt_sentiment|nyt_sentiment_L1,103,0.011567834681042229
nyt_sentiment_L2|nyt_sentiment_L4,93,0.010444743935309973
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2,93,0.010444743935309973
nyt_sentiment_L3|nyt_sentiment_L4,89,0.009995507637017072
nyt_sentiment|nyt_sentiment_L4,88,0.009883198562443846
nyt_sentiment_L1|nyt_sentiment_L2,85,0.009546271338724169
nyt_sentiment_L2|nyt_sentiment_L3,84,0.009433962264150943
nyt_sentiment|nyt_sentiment_L2,79,0.008872416891284816
nyt_sentiment|nyt_sentiment_L3,79,0.008872416891284816
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L4,75,0.008423180592991913
nyt_sentiment_L1|nyt_sentiment_L3,72,0.008086253369272238
nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L3,71,0.007973944294699012
nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,70,0.007861635220125786
nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L4,68,0.0076370170709793355
nyt_sentiment_L1|nyt_sentiment_L4,67,0.00752470799640611
nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,64,0.0071877807726864335
nyt_sentiment|nyt_sentiment_L3|nyt_sentiment_L4,62,0.006963162623539982
nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L3,60,0.006738544474393531
nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3,56,0.006289308176100629
nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L4,53,0.005952380952380952
NYT_mention_L1|NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,48,0.005390835579514825
NYT_mention_L1|NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,36,0.004043126684636119
NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,32,0.0035938903863432167
NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,30,0.0033692722371967657
NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L3|nyt_sentiment_L4,27,0.003032345013477089
NYT_mention_L4|nyt_sentiment_L4,25,0.002807726864330638
NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,23,0.002583108715184187
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,20,0.0022461814914645105
NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,16,0.0017969451931716084
NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,9,0.0010107816711590297
NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,9,0.0010107816711590297
NYT_mention_L4|nyt_sentiment_L3|nyt_sentiment_L4,7,0.0007861635220125787
NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,7,0.0007861635220125787
NYT_mention_L2|NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,6,0.0006738544474393531
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,6,0.0006738544474393531
NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,4,0.0004492362982929021
NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,4,0.0004492362982929021
NYT_mention_L3|NYT_mention_L4|nyt_sentiment|nyt_sentiment_L3|nyt_sentiment_L4,3,0.00033692722371967657
NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,3,0.00033692722371967657
NYT_mention_L4|nyt_sentiment_L2|nyt_sentiment_L3|nyt_sentiment_L4,3,0.00033692722371967657
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,3,0.00033692722371967657
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L4,3,0.00033692722371967657
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L4,2,0.00022461814914645105
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L4,2,0.00022461814914645105
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L2|nyt_sentiment_L4,2,0.00022461814914645105
NYT_mention_L3|NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L3|nyt_sentiment_L4,2,0.00022461814914645105
NYT_mention_L4|nyt_sentiment_L1|nyt_sentiment_L2|nyt_sentiment_L4,2,0.00022461814914645105
NYT_mention_L4|nyt_sentiment|nyt_sentiment_L3|nyt_sentiment_L4,2,0.00022461814914645105
